Capitulo,Pregunta,Respuesta
3,"¿Qué es, qué hace y porqué es necesaria una SRS?","La SRS es un documento que detalla lo que el sistema debe hacer, en él se establecen las bases para el acuerdo entre el cliente/usuario y quién suministrará el software.Hay 3 partes involucradas: cliente, usuario y desarrollador.La SRS contribuye a disminuir la brecha comunicacional entre las partes, es el medio para reconciliar las diferencias y especificar las necesidades del cliente/usuario de manera que todos entiendan. Esto es necesario ya que el cliente no comprende el proceso de desarrollo de software y el desarrollador no conoce el problema del cliente ni su área de aplicación."
3,¿Qué es el proceso de requerimientos? ¿Cuáles son sus actividades?,"Secuencia de pasos que se necesita realizar para convertir las necesidades del usuario en la SRS. El proceso tiene que recolectar las necesidades y los requerimientos y especificarlos claramente.Actividades básicas:Análisis del problema o requerimientos.Se enfoca en la comprensión del sistema deseado y sus requerimientos. Estrategia básica: Dividir y conquistar. Se genera una gran cantidad de información. La clave es organizarla.Especificación de los requerimientos.Se enfoca en el comportamiento externo, no necesariamente necesita toda la información obtenida en el análisis, solo la relevante.Validación.El proceso no es lineal, es iterativo y en paralelo. Existe superposición entre las fases."
3,¿Cuál es el objetivo del Análisis del problema? ¿Qué incluye?,"Lograr una buena comprensión de las necesidades, requerimientos y restricciones del software.Incluye:Entrevistas con el cliente y usuariosLectura de manualesEstudio del sistema actualAyudar al cliente/usuario a comprender nuevas posibilidadesEs importante obtener la información necesaria y una buena comunicación entre las partes. Se debe poder asegurar completitud y consistencia."
3,Métodos para hacer el Análisis del problema,Análisis estructuradoModelado orientado a objetosPrototipado
3,¿Cómo es el Método de Análisis Estructurado?,"Dibujar el diagrama del contexto: Ve al sistema completo como un transformador e identifica el contexto. Es un DFD con un único transformador, con entradas, salidas, fuentes y sumideros del sistema identificado.Dibujar el DFD del sistema existente: El sistema actual se modelo tal como es con un DFD con el fin de comprender el funcionamiento. Cada burbuja representa una transformación lógica de algunos datos. Se interactúa intensamente con el usuario para obtenerlo. Se valida con los usuarios con una “caminata” a través del DFDDibujar el DFD del sistema propuesto e identificar la frontera hombre-máquina. No existen reglas generales para dibujar el DFD del futuro sistema => hay que ser creativo. El DFD debe modelar el sistema propuesto completo: ya sean procesos automatizados o manuales. Validar con el usuario. Frontera hombre máquina: qué es automático y qué es manual"
3,¿Cómo es el Método de Modelado Orientado a Objetos?,ObjetivoIdentificar los objetos en el dominio del problema.Definir las clases identificando cuál es la información del estado que ésta encapsula.Identificar las relaciones entre los objetos de las distintas clases.PasosIdentificar objetos y clases.Identificar estructuras.Identificar atributos.Identificar asociaciones.Definir servicios.
3,¿Cómo es el método de Prototipado?,Se construye un sistema parcial prototípico. Se usa para comprender mejor el problema y las necesidades. Ayuda a visualizar cómo será el sistema final.Hay dos enfoques:Descartable: el prototipo se construye con la idea de desecharlo luego de culminada la fase de requerimientos. (El más adecuado para la fase del problema actual)Evolucionario: se construye con la idea de que evolucionará al sistema final (no conviene)
3,Nombre las 8 características de una SRS,CorrectaCompletaNo ambiguaConsistenteVerificableRastreableModificableOrdenada en aspectos de importancia y estabilidad
3,Describa la característica de una SRS: Correcta,Cada requerimiento representa precisamente alguna característica deseada por el  cliente en el sistema final.
3,Describa la característica de una SRS: Completa,Todas las características deseadas por el cliente están descriptas. La característica más difícil de lograr (para conseguirla uno debe detectar las ausencias en la especificación). Corrección y completitud están fuertemente relacionadas
3,Describa la característica de una SRS: No ambigua,"Si para cada requerimiento existe un solo significado.Si es ambigua los errores se colarán fácilmente. La no ambigüedad es esencial para verificabilidad.Como la verificación es usualmente hecha a través de revisiones, la SRS debe ser comprensible, al menos por el desarrollador, el usuario y el cliente. Particular atención si se usa lenguaje natural.Los lenguajes formales ayudan a “desambiguar”."
3,Describa la característica de una SRS: Consistente,Ningún requerimiento contradice a otro.
3,Describa la característica de una SRS: Verificable,Si existe para cada requerimiento algún proceso efectivo que puede asegurar que el software final satisface el requerimiento.
3,Describa la característica de una SRS: Rastreable,Se debe poder determinar el origen de cada requerimiento y cómo éste se relaciona a los elementos del software.Hacia adelante: dado un requerimiento se debe poder detectar en qué elementos de diseño o código tiene impacto.Hacia atrás: dado un elemento de diseño o código se debe poder rastrear qué requerimientos está atendiendo.
3,Describa la característica de una SRS: Modificable,"Si su estructura y estilo son tales que permiten incorporar cambios fácilmente preservando completitud y consistencia.La redundancia es un gran estorbo para modificabilidad, puede resultar en inconsistencia."
3,Describa la característica de una SRS: Ordenada en aspectos de importancia y estabilidad,"Los requerimientos pueden ser críticos, importantes pero no críticos, deseables pero noimportantes.Algunos requerimientos son esenciales y difícilmente cambien con el tiempo. Otros sonpropensos a cambiar.=> Se necesita definir un orden de prioridades en la construcción para reducir riesgosdebido a cambios de requerimientos."
3,Nombre los componentes de una SRS,Una SRS debe especificar requerimientos sobre:Funcionalidad.Desempeño (performance).Restricciones de diseño.Interfaces externas.
3,¿Qué hace la especificación funcional con casos de usos? Describala y nombre conceptos básicos.,"Captura el comportamiento del sistema como interacción de los usuarios con el sistema. Se enfoca sólo en la especificación de la funcionalidad. Muy adecuado para sistemas interactivos.Conceptos básicos:Un caso de uso captura un contrato entre el usuario y el comportamiento del sistema.La forma básica es textual. Existen notaciones gráficas (diagramas) como soporte.Útil en la recolección de requerimientos dado que a los usuarios les agrada, comprenden el formato, y reaccionan a éste fácilmente.Un caso de uso es una colección de muchos escenarios.Un escenario puede emplear otros casos de usos en un paso.Los casos de uso especifican funcionalidades describiendo la interacción entre actores y sistema.Se enfocan en el comportamiento externo."
